freq,v1,v2
500,0.179,0.004
550,0.179,0.004
600,0.179,0.006
650,0.179,0.008
700,0.178,0.011
750,0.178,0.018
800,0.176,0.038
810,0.176,0.047
820,0.174,0.06
830,0.171,0.074
834,0.171,0.078
836,0.17,0.079
838,0.17,0.08
840,0.17,0.08
842,0.17,0.08
844,0.17,0.079
846,0.171,0.077
850,0.172,0.073
860,0.174,0.059
870,0.175,0.048
880,0.176,0.039
900,0.177,0.028
1000,0.177,0.011
1100,0.177,0.007
1200,0.177,0.005
1400,0.176,0.003
1600,0.175,0.002
1800,0.175,0.001
2000,0.174,0.001
