V,D1,D2
3.8,2.6,4.2
4,2.3,4.1
4.2,2.25,3.95
4.4,2.2,3.85
4.6,2.15,3.8
4.8,2.15,3.75
5,2.1,3.7
5.2,2.05,3.65
5.4,2,3.6
